dataset,rho,horizon,model,test_run_id,MAE,RMSE,n_test,MAE_std,relative_improvement_over_persistence,n_test_runs
history_only,0.5,medium,Linear Regression,25,0.7183420076311434,1.043612137059399,19823.0,,,
history_only,0.5,medium,Decision Tree,25,0.7189220545063558,1.043841963977032,19823.0,,,
history_only,0.5,medium,Random Forest,25,0.7184769410462998,1.0421701841240496,19823.0,,,
history_only,0.5,medium,Naive (persistence),26,0.7806991034552231,1.4679683226394196,19854.0,,,
history_only,0.5,medium,Linear Regression,26,0.7579430198113798,1.1555677959750126,19854.0,,,
history_only,0.5,medium,Decision Tree,26,0.7574911766099905,1.1544784147120744,19854.0,,,
history_only,0.5,medium,Random Forest,26,0.7564634245788115,1.1512983153167655,19854.0,,,
history_only,0.5,medium,Naive (persistence),27,0.7146608757133478,1.3552956957461106,19801.0,,,
history_only,0.5,medium,Linear Regression,27,0.7125338467798036,1.0361222407697224,19801.0,,,
history_only,0.5,medium,Decision Tree,27,0.7139746711223559,1.0368256442097223,19801.0,,,
history_only,0.5,medium,Random Forest,27,0.7135223807085079,1.0358223125823536,19801.0,,,
history_only,0.5,medium,Naive (persistence),28,0.7069026370191096,1.354108802466947,19833.0,,,
history_only,0.5,medium,Linear Regression,28,0.715718820252167,1.0526003905500676,19833.0,,,
history_only,0.5,medium,Decision Tree,28,0.7171120161042885,1.0541916909582063,19833.0,,,
history_only,0.5,medium,Random Forest,28,0.7165584348572908,1.0509254180657468,19833.0,,,
history_only,0.5,medium,Naive (persistence),29,0.7090945898071764,1.3367051685116222,19759.0,,,
history_only,0.5,medium,Linear Regression,29,0.6994316957796135,1.0100158675712858,19759.0,,,
history_only,0.5,medium,Decision Tree,29,0.699566406872249,1.0109854139191647,19759.0,,,
history_only,0.5,medium,Random Forest,29,0.6994650190962499,1.009860621385267,19759.0,,,
history_only,0.5,medium,Linear Regression,ALL_MEAN,0.7207938780508215,,,0.01967941849622157,0.013032407766585874,5.0
history_only,0.5,medium,Decision Tree,ALL_MEAN,0.7214132650430479,,,0.019281807315992945,0.012184294447378008,5.0
history_only,0.5,medium,Random Forest,ALL_MEAN,0.7208972400574319,,,0.01899139386681359,0.01289087638861608,5.0
history_only,0.5,medium,Naive (persistence),ALL_MEAN,0.7303115965740408,,,0.027855995992898317,0.0,5.0
history_only,0.5,long,Naive (persistence),25,0.7898400847500379,1.4623872268144915,19823.0,,,
history_only,0.5,long,Linear Regression,25,0.7349298598351925,1.0527710026020052,19823.0,,,
history_only,0.5,long,Decision Tree,25,0.7344945254964161,1.0533084495487353,19823.0,,,
history_only,0.5,long,Random Forest,25,0.734476132858833,1.0533761337282546,19823.0,,,
history_only,0.5,long,Naive (persistence),26,0.8842046942681575,1.6597468921937684,19854.0,,,
history_only,0.5,long,Linear Regression,26,0.782740371965096,1.1927284317657967,19854.0,,,
history_only,0.5,long,Decision Tree,26,0.786369793003385,1.2110748807923322,19854.0,,,
history_only,0.5,long,Random Forest,26,0.7859204176575527,1.2030015470573805,19854.0,,,
history_only,0.5,long,Naive (persistence),27,0.7770819655572951,1.453225046997313,19801.0,,,
history_only,0.5,long,Linear Regression,27,0.7299678197908395,1.04721011233974,19801.0,,,
history_only,0.5,long,Decision Tree,27,0.7293003870785648,1.0475145203532177,19801.0,,,
history_only,0.5,long,Random Forest,27,0.7292123003179148,1.0470654751255004,19801.0,,,
history_only,0.5,long,Naive (persistence),28,0.7870720516311198,1.4856071787514382,19833.0,,,
history_only,0.5,long,Linear Regression,28,0.7365885607333805,1.0732808013204993,19833.0,,,
history_only,0.5,long,Decision Tree,28,0.7362566624325078,1.0739429516895167,19833.0,,,
history_only,0.5,long,Random Forest,28,0.7361335001685965,1.0732887448788373,19833.0,,,
history_only,0.5,long,Naive (persistence),29,0.7429525785717901,1.417216445917017,19759.0,,,
history_only,0.5,long,Linear Regression,29,0.7123691911109978,1.0135048189775995,19759.0,,,
history_only,0.5,long,Decision Tree,29,0.7141764875750762,1.020380497304973,19759.0,,,
history_only,0.5,long,Random Forest,29,0.7140675316602364,1.017854912894376,19759.0,,,
history_only,0.5,long,Linear Regression,ALL_MEAN,0.7393191606871012,,,0.02334897069951944,0.07147569749435456,5.0
history_only,0.5,long,Decision Tree,ALL_MEAN,0.7401195711171902,,,0.024395674014869903,0.07047044756193588,5.0
history_only,0.5,long,Random Forest,ALL_MEAN,0.7399619765326266,,,0.02426111224444145,0.07066837345036348,5.0
history_only,0.5,long,Naive (persistence),ALL_MEAN,0.7962302749556802,,,0.04705183678345544,0.0,5.0
history_only,0.5,extra_long,Naive (persistence),25,0.7819199919285679,1.436545655828005,19823.0,,,
history_only,0.5,extra_long,Linear Regression,25,0.7322631553206445,1.0510132636684917,19823.0,,,
history_only,0.5,extra_long,Decision Tree,25,0.7319625305368138,1.051344733841386,19823.0,,,
history_only,0.5,extra_long,Random Forest,25,0.7316184803974345,1.0508504539507795,19823.0,,,
history_only,0.5,extra_long,Naive (persistence),26,0.8476377556159967,1.5965139064759406,19854.0,,,
history_only,0.5,extra_long,Linear Regression,26,0.7772547279390488,1.1855690862243136,19854.0,,,
history_only,0.5,extra_long,Decision Tree,26,0.7785262025369912,1.1925625044048358,19854.0,,,
history_only,0.5,extra_long,Random Forest,26,0.7778413159844556,1.1884301479264447,19854.0,,,
history_only,0.5,extra_long,Naive (persistence),27,0.7564769456088076,1.4218528659625216,19801.0,,,
history_only,0.5,extra_long,Linear Regression,27,0.7256745810093367,1.0451260720748654,19801.0,,,
history_only,0.5,extra_long,Decision Tree,27,0.7259557711410146,1.0471856839599232,19801.0,,,
history_only,0.5,extra_long,Random Forest,27,0.7254362524229129,1.045116267072719,19801.0,,,
history_only,0.5,extra_long,Naive (persistence),28,0.761659859829577,1.4486974661082193,19833.0,,,
history_only,0.5,extra_long,Linear Regression,28,0.7325714870491074,1.0702508204625736,19833.0,,,
history_only,0.5,extra_long,Decision Tree,28,0.7336941425662682,1.0719955354083976,19833.0,,,
history_only,0.5,extra_long,Random Forest,28,0.7336747610345098,1.0721524714483366,19833.0,,,
history_only,0.5,extra_long,Naive (persistence),29,0.7396629384078142,1.3990843853259958,19759.0,,,
history_only,0.5,extra_long,Linear Regression,29,0.7096652487193637,1.0142620239989097,19759.0,,,
history_only,0.5,extra_long,Decision Tree,29,0.7107123334014829,1.0181364660499912,19759.0,,,
history_only,0.5,extra_long,Random Forest,29,0.7104782103429326,1.0173288125805777,19759.0,,,
history_only,0.5,extra_long,Linear Regression,ALL_MEAN,0.7354858400075002,,,0.022478802843538145,0.05400282629477382,5.0
history_only,0.5,extra_long,Decision Tree,ALL_MEAN,0.7361701960365141,,,0.022672908160636402,0.05312259334664693,5.0
history_only,0.5,extra_long,Random Forest,ALL_MEAN,0.735809804036449,,,0.022530307637644954,0.053586137027493486,5.0
history_only,0.5,extra_long,Naive (persistence),ALL_MEAN,0.7774714982781528,,,0.03758552677891237,0.0,5.0
history_only,0.7,short,Naive (persistence),25,1.2502006420545746,1.8971603769811236,19936.0,,,
history_only,0.7,short,Linear Regression,25,1.2914704019567107,1.7759752689621116,19936.0,,,
history_only,0.7,short,Decision Tree,25,1.2913602515364708,1.7351017837606963,19936.0,,,
history_only,0.7,short,Random Forest,25,1.2915233271068474,1.7346942753386463,19936.0,,,
history_only,0.7,short,Naive (persistence),26,1.225774125663894,1.8885151914187135,19958.0,,,
history_only,0.7,short,Linear Regression,26,1.2690982234545882,1.7533411772178746,19958.0,,,
