dataset,weibull_shape,rho,horizon,model,test_run_id,accuracy,precision_congested,recall_congested,f1_congested,n_test,congestion_rate,accuracy_std,precision_congested_std,recall_congested_std,f1_congested_std,n_test_runs
history_only,2.0,0.5,short,Logistic Regression,25,0.9274603574125346,0.6842105263157895,0.017869415807560136,0.034829202947086406,19865.0,0.07324439969796123,,,,,
history_only,2.0,0.5,short,Random Forest,25,0.9275106972061414,0.6470588235294118,0.02268041237113402,0.043824701195219126,19865.0,0.07324439969796123,,,,,
history_only,2.0,0.5,short,Naive (always 'not congested'),26,0.9221925268518986,0.0,0.0,0.0,19831.0,0.07780747314810146,,,,,
history_only,2.0,0.5,short,Naive (persistence),26,0.8818012203116333,0.24010382868267358,0.23979261179520414,0.23994811932555124,19831.0,0.07780747314810146,,,,,
history_only,2.0,0.5,short,Logistic Regression,26,0.9240582925722354,0.7681159420289855,0.034348671419313026,0.06575682382133995,19831.0,0.07780747314810146,,,,,
history_only,2.0,0.5,short,Random Forest,26,0.9241591447733347,0.76,0.03694102397926118,0.07045735475896168,19831.0,0.07780747314810146,,,,,
history_only,2.0,0.5,short,Naive (always 'not congested'),27,0.9344138521165752,0.0,0.0,0.0,19867.0,0.06558614788342478,,,,,
history_only,2.0,0.5,short,Naive (persistence),27,0.8938440630190768,0.19095092024539878,0.1910974673829624,0.19102416570771003,19867.0,0.06558614788342478,,,,,
history_only,2.0,0.5,short,Logistic Regression,27,0.9346151910202849,0.5769230769230769,0.011511895625479662,0.022573363431151242,19867.0,0.06558614788342478,,,,,
history_only,2.0,0.5,short,Random Forest,27,0.9344138521165752,0.5,0.011511895625479662,0.02250562640660165,19867.0,0.06558614788342478,,,,,
history_only,2.0,0.5,short,Naive (always 'not congested'),28,0.9238484023787925,0.0,0.0,0.0,19842.0,0.07615159762120755,,,,,
history_only,2.0,0.5,short,Naive (persistence),28,0.8858482007862111,0.25066137566137564,0.25082726671078753,0.2507442937479325,19842.0,0.07615159762120755,,,,,
history_only,2.0,0.5,short,Logistic Regression,28,0.9255115411752848,0.7538461538461538,0.03242885506287227,0.06218274111675127,19842.0,0.07615159762120755,,,,,
history_only,2.0,0.5,short,Random Forest,28,0.9258139300473742,0.7532467532467533,0.03838517538054269,0.07304785894206549,19842.0,0.07615159762120755,,,,,
history_only,2.0,0.5,short,Naive (always 'not congested'),29,0.9206077681626081,0.0,0.0,0.0,19876.0,0.07939223183739183,,,,,
history_only,2.0,0.5,short,Naive (persistence),29,0.8810122761118937,0.2511068943706515,0.25158428390367554,0.25134536245647354,19876.0,0.07939223183739183,,,,,
history_only,2.0,0.5,short,Logistic Regression,29,0.9215636949084323,0.7021276595744681,0.02091254752851711,0.040615384615384616,19876.0,0.07939223183739183,,,,,
history_only,2.0,0.5,short,Random Forest,29,0.9215133829744415,0.6607142857142857,0.023447401774397972,0.04528763769889841,19876.0,0.07939223183739183,,,,,
history_only,2.0,0.5,short,Naive (always 'not congested'),ALL_MEAN,0.9255636299623827,0.0,0.0,0.0,,0.07443637003761736,0.004870608452599518,0.0,0.0,0.0,5.0
history_only,2.0,0.5,short,Naive (persistence),ALL_MEAN,0.8863013030651438,0.23498276060082315,0.2350452056836118,0.23501390079480053,,0.07443637003761736,0.004745737488952651,0.022455996796837203,0.022467217988422113,0.02246115097389588,5.0
history_only,2.0,0.5,short,Logistic Regression,ALL_MEAN,0.9266418154177544,0.6970446717376948,0.02341427708874844,0.04519150318634269,,0.07443637003761736,0.004426830639632704,0.0676716830371492,0.00871199652599979,0.016441003330924357,5.0
history_only,2.0,0.5,short,Random Forest,ALL_MEAN,0.9266822014235734,0.6642039724980902,0.026593181826163104,0.05102463580034927,,0.07443637003761736,0.004342838286269831,0.0942067665507759,0.009987790943158352,0.018765601647744233,5.0
history_only,2.0,0.5,medium,Naive (always 'not congested'),25,0.9271079788572867,0.0,0.0,0.0,19865.0,0.07289202114271331,,,,,
history_only,2.0,0.5,medium,Naive (persistence),25,0.8722376038258243,0.12517193947730398,0.12569060773480664,0.12543073742246727,19865.0,0.07289202114271331,,,,,
history_only,2.0,0.5,medium,Logistic Regression,25,0.9271079788572867,0.0,0.0,0.0,19865.0,0.07289202114271331,,,,,
history_only,2.0,0.5,medium,Random Forest,25,0.927007299270073,0.0,0.0,0.0,19865.0,0.07289202114271331,,,,,
history_only,2.0,0.5,medium,Naive (always 'not congested'),26,0.9222429529524482,0.0,0.0,0.0,19831.0,0.07775704704755182,,,,,
history_only,2.0,0.5,medium,Naive (persistence),26,0.864404215622006,0.12783906554185595,0.12775616083009078,0.1277975997405125,19831.0,0.07775704704755182,,,,,
history_only,2.0,0.5,medium,Logistic Regression,26,0.9222933790529978,1.0,0.0006485084306095979,0.0012961762799740765,19831.0,0.07775704704755182,,,,,
history_only,2.0,0.5,medium,Random Forest,26,0.9223942312540971,0.5652173913043478,0.008430609597924773,0.016613418530351438,19831.0,0.07775704704755182,,,,,
