dataset,weibull_shape,rho,horizon,model,test_run_id,MAE,RMSE,n_test,MAE_std,relative_improvement_over_persistence,n_test_runs
history_only,2.0,0.5,extra_long,Naive (persistence),29,0.5486013282350574,1.0668442110910943,19876.0,,,
history_only,2.0,0.5,extra_long,Linear Regression,29,0.5121995237225117,0.7558613584950624,19876.0,,,
history_only,2.0,0.5,extra_long,Decision Tree,29,0.511942060413392,0.7563722316661364,19876.0,,,
history_only,2.0,0.5,extra_long,Random Forest,29,0.5119838081589013,0.7561567157187691,19876.0,,,
history_only,2.0,0.5,extra_long,Linear Regression,ALL_MEAN,0.5043164344150612,,,0.012244157744593195,0.05524457649954995,5.0
history_only,2.0,0.5,extra_long,Decision Tree,ALL_MEAN,0.5042125705690703,,,0.012383474440337239,0.05543914864733124,5.0
history_only,2.0,0.5,extra_long,Random Forest,ALL_MEAN,0.5042392260874037,,,0.012365588688665618,0.055389213836975704,5.0
history_only,2.0,0.5,extra_long,Naive (persistence),ALL_MEAN,0.5338063395778124,,,0.022953602479024886,0.0,5.0
history_only,2.0,0.7,short,Naive (persistence),25,0.9420601932996144,1.4903834830459344,19969.0,,,
history_only,2.0,0.7,short,Linear Regression,25,0.9631009430078723,1.3235974347791848,19969.0,,,
history_only,2.0,0.7,short,Decision Tree,25,0.9620406592298836,1.2918165809889617,19969.0,,,
history_only,2.0,0.7,short,Random Forest,25,0.9620504444215043,1.291141626309833,19969.0,,,
history_only,2.0,0.7,short,Naive (persistence),26,0.98455675892499,1.5355135444425314,19944.0,,,
history_only,2.0,0.7,short,Linear Regression,26,1.0122448832461757,1.4076793947238997,19944.0,,,
history_only,2.0,0.7,short,Decision Tree,26,0.9977278192780173,1.353830616721813,19944.0,,,
history_only,2.0,0.7,short,Random Forest,26,0.9968357936820474,1.3521175254193047,19944.0,,,
history_only,2.0,0.7,short,Naive (persistence),27,0.9433669122437729,1.4838883120464883,19953.0,,,
history_only,2.0,0.7,short,Linear Regression,27,0.9674778216814623,1.3163280281900414,19953.0,,,
history_only,2.0,0.7,short,Decision Tree,27,0.9649774170233121,1.285228260141893,19953.0,,,
history_only,2.0,0.7,short,Random Forest,27,0.9646651443254362,1.2846923030159596,19953.0,,,
history_only,2.0,0.7,short,Naive (persistence),28,0.9364761284504785,1.4844348811878378,19961.0,,,
history_only,2.0,0.7,short,Linear Regression,28,0.9745629755925372,1.3485387355054141,19961.0,,,
history_only,2.0,0.7,short,Decision Tree,28,0.9747529796955484,1.3131097834929144,19961.0,,,
history_only,2.0,0.7,short,Random Forest,28,0.974531627869451,1.3124420866440656,19961.0,,,
history_only,2.0,0.7,short,Naive (persistence),29,0.9937374749498998,1.5504379108596582,19960.0,,,
history_only,2.0,0.7,short,Linear Regression,29,1.0105520977052236,1.3962812566392593,19960.0,,,
history_only,2.0,0.7,short,Decision Tree,29,1.010188149348097,1.3706064028111988,19960.0,,,
history_only,2.0,0.7,short,Random Forest,29,1.0101905889993301,1.3705688415139587,19960.0,,,
history_only,2.0,0.7,short,Linear Regression,ALL_MEAN,0.9855877442466543,,,0.021396228884505427,-0.026611666336558315,5.0
history_only,2.0,0.7,short,Decision Tree,ALL_MEAN,0.9819374049149717,,,0.018881628058291175,-0.022809385955264716,5.0
history_only,2.0,0.7,short,Random Forest,ALL_MEAN,0.9816547198595538,,,0.018806767727317233,-0.0225149344693516,5.0
history_only,2.0,0.7,short,Naive (persistence),ALL_MEAN,0.9600394935737512,,,0.024054573916888634,0.0,5.0
history_only,2.0,0.7,medium,Naive (persistence),25,1.1562922529921378,1.8126756409014912,19969.0,,,
history_only,2.0,0.7,medium,Linear Regression,25,1.1091742037591967,1.50735341464307,19969.0,,,
history_only,2.0,0.7,medium,Decision Tree,25,1.091813426441132,1.4827783727014352,19969.0,,,
history_only,2.0,0.7,medium,Random Forest,25,1.091419648387589,1.4816715100582118,19969.0,,,
history_only,2.0,0.7,medium,Naive (persistence),26,1.2335539510629763,1.910082606480154,19944.0,,,
history_only,2.0,0.7,medium,Linear Regression,26,1.1835305171233308,1.6641262163239896,19944.0,,,
history_only,2.0,0.7,medium,Decision Tree,26,1.151260392377429,1.6042851030950722,19944.0,,,
history_only,2.0,0.7,medium,Random Forest,26,1.1511652792624885,1.6034979704226773,19944.0,,,
history_only,2.0,0.7,medium,Naive (persistence),27,1.1710018543577407,1.8187973653108653,19953.0,,,
history_only,2.0,0.7,medium,Linear Regression,27,1.1175576249268164,1.5022445349448614,19953.0,,,
history_only,2.0,0.7,medium,Decision Tree,27,1.0986906365590794,1.4797757825392481,19953.0,,,
history_only,2.0,0.7,medium,Random Forest,27,1.0983616273543886,1.4788582844548672,19953.0,,,
history_only,2.0,0.7,medium,Naive (persistence),28,1.1891688793146635,1.859002147260153,19961.0,,,
history_only,2.0,0.7,medium,Linear Regression,28,1.149403702347002,1.5866428138421544,19961.0,,,
history_only,2.0,0.7,medium,Decision Tree,28,1.1286085923381148,1.5536973129687324,19961.0,,,
