weibull_shape,rho,horizon,model,MAE_history,MAE_rich,rich_improvement
2.0,0.5,extra_long,Linear Regression,0.5043164344150612,0.5043319018660335,-3.067013072888258e-05
2.0,0.5,extra_long,Decision Tree,0.5042125705690703,0.5041514520361372,0.00012121580559587564
2.0,0.5,extra_long,Random Forest,0.5042392260874037,0.5040532797239246,0.0003687661607010284
2.0,0.5,extra_long,Naive (persistence),0.5338063395778124,0.5338063395778124,0.0
2.0,0.7,short,Linear Regression,0.9855877442466544,0.9832527548248128,0.0023691339867729644
2.0,0.7,short,Decision Tree,0.9819374049149716,0.9808077468258742,0.0011504379845833634
2.0,0.7,short,Random Forest,0.9816547198595538,0.9806203347574094,0.0010537158139395375
2.0,0.7,short,Naive (persistence),0.9600394935737512,0.9600394935737512,0.0
2.0,0.7,medium,Linear Regression,1.1490824951596106,1.1431708041951547,0.005144705440521702
2.0,0.7,medium,Decision Tree,1.128659542992358,1.129854667457462,-0.0010588883711872832
2.0,0.7,medium,Random Forest,1.1287148008376306,1.1290707367444974,-0.0003153461854159545
2.0,0.7,medium,Naive (persistence),1.2050033875455035,1.2050033875455035,0.0
2.0,0.7,long,Linear Regression,1.2163325415835184,1.2129266893950417,0.0028000995386038285
2.0,0.7,long,Decision Tree,1.2016678020811706,1.2023146451644549,-0.0005382877715154333
2.0,0.7,long,Random Forest,1.2016253373459704,1.2014692896842896,0.00012986382429780452
2.0,0.7,long,Naive (persistence),1.3945294234793302,1.3945294234793302,0.0
2.0,0.7,extra_long,Linear Regression,1.200478652470244,1.195452968557729,0.004186400068150742
2.0,0.7,extra_long,Decision Tree,1.1822336387287475,1.1822813704715096,-4.0374204555160276e-05
2.0,0.7,extra_long,Random Forest,1.1814321162049448,1.1814247775473814,6.2116624922614605e-06
2.0,0.7,extra_long,Naive (persistence),1.3265837537987704,1.3265837537987704,0.0
2.0,0.8,short,Linear Regression,1.3025514722772455,1.2917062529010148,0.008326134979733335
2.0,0.8,short,Decision Tree,1.2763399558364346,1.2776230741076158,-0.0010053107444563114
2.0,0.8,short,Random Forest,1.2761464787361896,1.276692630056114,-0.000427969146978624
2.0,0.8,short,Naive (persistence),1.28578927289322,1.28578927289322,0.0
2.0,0.8,medium,Linear Regression,1.6123569079595388,1.598401299512505,0.008655408971884992
2.0,0.8,medium,Decision Tree,1.5716821602560755,1.5717806511745729,-6.266592634807111e-05
2.0,0.8,medium,Random Forest,1.571025351107807,1.5707899183958756,0.00014985926978539066
2.0,0.8,medium,Naive (persistence),1.6712934640344628,1.6712934640344628,0.0
2.0,0.8,long,Linear Regression,1.873125543607305,1.8664660441226344,0.0035552873150432873
2.0,0.8,long,Decision Tree,1.8464502750268128,1.8466479576615025,-0.00010706090348788777
2.0,0.8,long,Random Forest,1.845166090739361,1.8452408373954403,-4.0509445981218306e-05
2.0,0.8,long,Naive (persistence),2.065757967747316,2.065757967747316,0.0
2.0,0.8,extra_long,Linear Regression,1.7679331769688766,1.7642943415366628,0.0020582426302179213
2.0,0.8,extra_long,Decision Tree,1.741316266313594,1.741394404662861,-4.487315186718632e-05
2.0,0.8,extra_long,Random Forest,1.741018144799242,1.740765318039596,0.00014521776260700836
2.0,0.8,extra_long,Naive (persistence),1.9031631146505328,1.9031631146505328,0.0
2.0,0.9,short,Linear Regression,1.653462507120956,1.641928146395707,0.006975882837121583
2.0,0.9,short,Decision Tree,1.641842042621769,1.6398504571474366,0.001213018927906262
2.0,0.9,short,Random Forest,1.6406420299847504,1.6391861118994615,0.00088740752624894
2.0,0.9,short,Naive (persistence),1.629510916105934,1.629510916105934,0.0
2.0,0.9,medium,Linear Regression,2.220886481239383,2.1992049057546383,0.009762577091578906
2.0,0.9,medium,Decision Tree,2.1834501435984883,2.183261455237894,8.641752647642331e-05
2.0,0.9,medium,Random Forest,2.181708141745692,2.1814697167618227,0.00010928362933027014
2.0,0.9,medium,Naive (persistence),2.2241603912621657,2.2241603912621657,0.0
2.0,0.9,long,Linear Regression,2.9106707256512863,2.8820848952975697,0.009821045747907542
2.0,0.9,long,Decision Tree,2.8441273466957946,2.8446968340940444,-0.00020023273532787655
2.0,0.9,long,Random Forest,2.842522642740473,2.843014972809929,-0.0001732018109736888
2.0,0.9,long,Naive (persistence),2.987539549192074,2.987539549192074,0.0
2.0,0.9,extra_long,Linear Regression,2.609539743269972,2.5882184888067,0.008170503828600406
2.0,0.9,extra_long,Decision Tree,2.554081245460042,2.554700942069995,-0.00024262995198531812
2.0,0.9,extra_long,Random Forest,2.5535225548989144,2.553528637888712,-2.382195444461388e-06
2.0,0.9,extra_long,Naive (persistence),2.653725993910301,2.653725993910301,0.0
2.0,0.95,short,Linear Regression,1.7986366262851203,1.79502786709948,0.0020063859108072624
2.0,0.95,short,Decision Tree,1.8009457304210337,1.798519745989693,0.0013470613746775495
2.0,0.95,short,Random Forest,1.799891541075383,1.7977212394410984,0.0012057957853326418
2.0,0.95,short,Naive (persistence),1.778496658913562,1.778496658913562,0.0
2.0,0.95,medium,Linear Regression,2.47828584239065,2.459610240200369,0.00753569336952109
2.0,0.95,medium,Decision Tree,2.451442460865335,2.4510644575341343,0.00015419628942348051
2.0,0.95,medium,Random Forest,2.4507751290128037,2.450838924910488,-2.603090627495419e-05
2.0,0.95,medium,Naive (persistence),2.4735513214240767,2.4735513214240767,0.0
2.0,0.95,long,Linear Regression,3.3373443047643447,3.3071133065326017,0.009058399574951137
