erlang_k,rho,horizon,model,MAE_history,MAE_std_history,MAE_rich,MAE_std_rich,rich_improvement
2,0.8,long,Random Forest,2.063484992859272,0.0862531546107831,2.063983576918024,0.0861063105389234,-0.00024162233332303273
2,0.8,long,Naive (persistence),2.264948606971547,0.1176296510678753,2.264948606971547,0.1176296510678753,0.0
2,0.8,extra_long,Linear Regression,1.9652794484938012,0.0762257752877371,1.96518766333491,0.0747421217900982,4.6703362700739603e-05
2,0.8,extra_long,Decision Tree,1.9472069732428303,0.073203361377362,1.948035962507427,0.0728006600668195,-0.00042573248554877985
2,0.8,extra_long,Random Forest,1.9465836194030917,0.0728157195693687,1.946339276369573,0.072585333424908,0.00012552403661625355
2,0.8,extra_long,Naive (persistence),2.087315890417836,0.0923564164414318,2.087315890417836,0.0923564164414318,0.0
2,0.9,short,Linear Regression,1.780865102555347,0.046299240521967,1.7743413039711853,0.0424774537760026,0.0036632749862978153
2,0.9,short,Decision Tree,1.775756828283756,0.0432109324721551,1.7755904414690122,0.0430288216795355,9.369909893830464e-05
2,0.9,short,Random Forest,1.7747351589297025,0.042995614110513,1.77475584915434,0.0431585060176624,-1.1658204061237853e-05
2,0.9,short,Naive (persistence),1.7540280091159723,0.0461059251127597,1.7540280091159723,0.0461059251127597,0.0
2,0.9,medium,Linear Regression,2.4037576540605934,0.0781112905495488,2.3907488091628557,0.0704161539451947,0.005411878720703034
2,0.9,medium,Decision Tree,2.3771481682430697,0.06963151424896,2.3768412324895865,0.0693965772644082,0.00012911931935233323
2,0.9,medium,Random Forest,2.375350599829339,0.068995258977945,2.3750612650140424,0.0688533755150882,0.00012180720408916379
2,0.9,medium,Naive (persistence),2.4088002054656767,0.0733255198331239,2.4088002054656767,0.0733255198331239,0.0
2,0.9,long,Linear Regression,3.160921146959242,0.1285521419508684,3.1348978124014404,0.1148388908377972,0.008232832566176462
2,0.9,long,Decision Tree,3.1071527646077626,0.1069200988038494,3.1088384509616334,0.1070547666123173,-0.0005425180161953147
2,0.9,long,Random Forest,3.1052370406068834,0.107146886663764,3.1060747172385024,0.1069259863650447,-0.0002697625400782666
2,0.9,long,Naive (persistence),3.239470880749044,0.1187942939831784,3.239470880749044,0.1187942939831784,0.0
2,0.9,extra_long,Linear Regression,2.828350378731657,0.1049657202448219,2.8127825722444144,0.0915226929306806,0.005504200117604885
2,0.9,extra_long,Decision Tree,2.789763514054429,0.0906931267697727,2.7907911254605917,0.0904690428351207,-0.0003683507225560323
2,0.9,extra_long,Random Forest,2.788605166285374,0.0908815452198623,2.7888601839017064,0.0902840753637654,-9.144988305109791e-05
2,0.9,extra_long,Naive (persistence),2.8752456540200617,0.0950279792028237,2.8752456540200617,0.0950279792028237,0.0
2,0.95,short,Linear Regression,1.949999312273372,0.0180654554569621,1.9474036248812645,0.0152796836922779,0.0013311222090029995
2,0.95,short,Decision Tree,1.9550629842960576,0.0193856368202255,1.954911458136762,0.0194272219434566,7.750448988741443e-05
2,0.95,short,Random Forest,1.952554940781201,0.0184640717394084,1.9526123559428212,0.0184526760758814,-2.940514523874782e-05
2,0.95,short,Naive (persistence),1.9349448854068243,0.0188583141565153,1.9349448854068243,0.0188583141565153,0.0
2,0.95,medium,Linear Regression,2.68560121535606,0.0255708975591076,2.664739881428118,0.0227907296251956,0.007767844983334937
2,0.95,medium,Decision Tree,2.660450163550592,0.0267294968856928,2.6609618387094747,0.026818830479351,-0.00019232653401779487
2,0.95,medium,Random Forest,2.6600305324667968,0.0265466389054217,2.660044564979793,0.0265738225765563,-5.275320273501194e-06
2,0.95,medium,Naive (persistence),2.6851800358391475,0.0275782583949354,2.6851800358391475,0.0275782583949354,0.0
2,0.95,long,Linear Regression,3.6164977488981953,0.0720752891545641,3.580907760764505,0.070631416309072,0.009841009342404061
2,0.95,long,Decision Tree,3.5559651108237227,0.0725774722090946,3.556159758472647,0.0722930033082264,-5.4738346091154355e-05
2,0.95,long,Random Forest,3.554872511725878,0.0729181974948656,3.5548378617912397,0.0731145404938919,9.747166606954849e-06
2,0.95,long,Naive (persistence),3.660312750433546,0.0712208287873042,3.660312750433546,0.0712208287873042,0.0
2,0.95,extra_long,Linear Regression,3.2053160429521186,0.0440478597992941,3.1733346337655983,0.0444488579158189,0.00997761492407001
2,0.95,extra_long,Decision Tree,3.1614862488791493,0.0456612099575838,3.161505636044581,0.0455640146549988,-6.132294720018194e-06
2,0.95,extra_long,Random Forest,3.160686791855999,0.0456807770091101,3.1604945094923544,0.0456678546002871,6.083562728842473e-05
2,0.95,extra_long,Naive (persistence),3.2255985736152675,0.0446689843126925,3.2255985736152675,0.0446689843126925,0.0
