dataset,erlang_k,rho,horizon,model,test_run_id,MAE,RMSE,n_test,MAE_std,relative_improvement_over_persistence,n_test_runs
history_only,2,0.5,short,Naive (persistence),27,0.4909823677581864,0.9720009743855965,19850.0,,,
history_only,2,0.5,short,Linear Regression,27,0.5208889506459938,0.7771208803001373,19850.0,,,
history_only,2,0.5,short,Decision Tree,27,0.5241337629103525,0.7745863108278287,19850.0,,,
history_only,2,0.5,short,Random Forest,27,0.5240472589792372,0.7742729017008102,19850.0,,,
history_only,2,0.5,short,Naive (persistence),28,0.5481272654047523,1.0543047939137873,19864.0,,,
history_only,2,0.5,short,Linear Regression,28,0.568157269491275,0.8755587003953308,19864.0,,,
history_only,2,0.5,short,Decision Tree,28,0.5670016186274349,0.8652932145159751,19864.0,,,
history_only,2,0.5,short,Random Forest,28,0.5669736588588236,0.8655505352449966,19864.0,,,
history_only,2,0.5,short,Naive (persistence),29,0.5105623176742783,0.999421419988041,19882.0,,,
history_only,2,0.5,short,Linear Regression,29,0.5360756427289093,0.806556986892651,19882.0,,,
history_only,2,0.5,short,Decision Tree,29,0.5369024677339848,0.799125077295834,19882.0,,,
history_only,2,0.5,short,Random Forest,29,0.5366916648107849,0.7983951212701799,19882.0,,,
history_only,2,0.5,short,Linear Regression,ALL_MEAN,0.5411800002164995,,,0.015683511842121876,-0.04552216623650063,5.0
history_only,2,0.5,short,Decision Tree,ALL_MEAN,0.5420424153653364,,,0.014463802857360724,-0.04718829239461142,5.0
history_only,2,0.5,short,Random Forest,ALL_MEAN,0.5418621642044953,,,0.01450706043817034,-0.04684005967338423,5.0
history_only,2,0.5,short,Naive (persistence),ALL_MEAN,0.5176169551378815,,,0.019211275489237904,0.0,5.0
history_only,2,0.5,medium,Naive (persistence),25,0.6150475902704337,1.1676896068641471,19857.0,,,
history_only,2,0.5,medium,Linear Regression,25,0.5849772118849274,0.8600187974782298,19857.0,,,
history_only,2,0.5,medium,Decision Tree,25,0.5832785843827528,0.8579477443588701,19857.0,,,
history_only,2,0.5,medium,Random Forest,25,0.5828388351346967,0.8573524337420292,19857.0,,,
history_only,2,0.5,medium,Naive (persistence),26,0.5812827753126261,1.1320178002668584,19832.0,,,
history_only,2,0.5,medium,Linear Regression,26,0.5699146735750104,0.8454743341613408,19832.0,,,
history_only,2,0.5,medium,Decision Tree,26,0.5690581818219399,0.8424117080393124,19832.0,,,
history_only,2,0.5,medium,Random Forest,26,0.568791546157542,0.8423073887626471,19832.0,,,
history_only,2,0.5,medium,Naive (persistence),27,0.5561712846347607,1.087598977805666,19850.0,,,
history_only,2,0.5,medium,Linear Regression,27,0.5557742410661196,0.8049397968383447,19850.0,,,
history_only,2,0.5,medium,Decision Tree,27,0.5559089109851638,0.8045861417338478,19850.0,,,
