dataset,erlang_k,rho,horizon,model,test_run_id,accuracy,precision_congested,recall_congested,f1_congested,n_test,congestion_rate,accuracy_std,precision_congested_std,recall_congested_std,f1_congested_std,n_test_runs
history_only,2,0.5,long,Naive (persistence),29,0.8347248767729605,0.08560311284046693,0.08579387186629527,0.08569838619922092,19882.0,0.09028266773966402,,,,,
history_only,2,0.5,long,Logistic Regression,29,0.909717332260336,0.0,0.0,0.0,19882.0,0.09028266773966402,,,,,
history_only,2,0.5,long,Random Forest,29,0.9096670355095061,0.3333333333333333,0.0005571030640668524,0.0011123470522803114,19882.0,0.09028266773966402,,,,,
history_only,2,0.5,long,Naive (always 'not congested'),ALL_MEAN,0.9077722379182976,0.0,0.0,0.0,,0.09222776208170236,0.006346870095900612,0.0,0.0,0.0,5.0
history_only,2,0.5,long,Naive (persistence),ALL_MEAN,0.8314776263785163,0.08643174259661164,0.08653752285604452,0.08648449766002657,,0.09222776208170236,0.010477340372072319,0.007949127714843,0.00804359935432023,0.007995927915812518,5.0
history_only,2,0.5,long,Logistic Regression,ALL_MEAN,0.9077722379182976,0.0,0.0,0.0,,0.09222776208170236,0.006346870095900612,0.0,0.0,0.0,5.0
history_only,2,0.5,long,Random Forest,ALL_MEAN,0.9077621785681316,0.06666666666666667,0.00011142061281337048,0.0002224694104560623,,0.09222776208170236,0.006343818408983318,0.13333333333333333,0.00022284122562674097,0.00044493882091212455,5.0
history_only,2,0.5,extra_long,Naive (always 'not congested'),25,0.9038626177166742,0.0,0.0,0.0,19857.0,0.09613738228332577,,,,,
history_only,2,0.5,extra_long,Naive (persistence),25,0.8263584630105253,0.09648662821185107,0.0963855421686747,0.09643605870020965,19857.0,0.09613738228332577,,,,,
history_only,2,0.5,extra_long,Logistic Regression,25,0.9038626177166742,0.0,0.0,0.0,19857.0,0.09613738228332577,,,,,
history_only,2,0.5,extra_long,Random Forest,25,0.904013697940273,1.0,0.001571503404924044,0.0031380753138075313,19857.0,0.09613738228332577,,,,,
history_only,2,0.5,extra_long,Naive (always 'not congested'),26,0.9112041145623235,0.0,0.0,0.0,19832.0,0.08879588543767648,,,,,
history_only,2,0.5,extra_long,Naive (persistence),26,0.8431323114158935,0.11691259931895573,0.11697898921067575,0.1169457848424638,19832.0,0.08879588543767648,,,,,
history_only,2,0.5,extra_long,Logistic Regression,26,0.9112041145623235,0.0,0.0,0.0,19832.0,0.08879588543767648,,,,,
history_only,2,0.5,extra_long,Random Forest,26,0.9112545381202097,0.5714285714285714,0.002271436683702442,0.004524886877828055,19832.0,0.08879588543767648,,,,,
history_only,2,0.5,extra_long,Naive (always 'not congested'),27,0.9160705289672544,0.0,0.0,0.0,19850.0,0.08392947103274559,,,,,
history_only,2,0.5,extra_long,Naive (persistence),27,0.846095717884131,0.08338332333533294,0.08343337334933974,0.08340834083408341,19850.0,0.08392947103274559,,,,,
history_only,2,0.5,extra_long,Logistic Regression,27,0.9160705289672544,0.0,0.0,0.0,19850.0,0.08392947103274559,,,,,
history_only,2,0.5,extra_long,Random Forest,27,0.9160705289672544,0.0,0.0,0.0,19850.0,0.08392947103274559,,,,,
history_only,2,0.5,extra_long,Naive (always 'not congested'),28,0.8980064438179621,0.0,0.0,0.0,19864.0,0.10199355618203786,,,,,
history_only,2,0.5,extra_long,Naive (persistence),28,0.8219895287958116,0.12844488188976377,0.12882527147087858,0.12863479546574666,19864.0,0.10199355618203786,,,,,
history_only,2,0.5,extra_long,Logistic Regression,28,0.8980064438179621,0.0,0.0,0.0,19864.0,0.10199355618203786,,,,,
history_only,2,0.5,extra_long,Random Forest,28,0.8980567861457914,1.0,0.0004935834155972359,0.000986679822397632,19864.0,0.10199355618203786,,,,,
history_only,2,0.5,extra_long,Naive (always 'not congested'),29,0.9095161452570164,0.0,0.0,0.0,19882.0,0.09048385474298361,,,,,
history_only,2,0.5,extra_long,Naive (persistence),29,0.8361331857961976,0.09449694274596998,0.09449694274596998,0.09449694274596998,19882.0,0.09048385474298361,,,,,
history_only,2,0.5,extra_long,Logistic Regression,29,0.9095161452570164,0.0,0.0,0.0,19882.0,0.09048385474298361,,,,,
history_only,2,0.5,extra_long,Random Forest,29,0.9096167387586762,0.625,0.0027793218454697055,0.005534034311012728,19882.0,0.09048385474298361,,,,,
history_only,2,0.5,extra_long,Naive (always 'not congested'),ALL_MEAN,0.9077319700642461,0.0,0.0,0.0,,0.09226802993575386,0.006234234218727807,0.0,0.0,0.0,5.0
history_only,2,0.5,extra_long,Naive (persistence),ALL_MEAN,0.8347418413805118,0.10394487510037469,0.10402402378910776,0.10398438451769469,,0.09226802993575386,0.009318249272362222,0.016346733542205644,0.01646826995071123,0.016407333762530847,5.0
history_only,2,0.5,extra_long,Logistic Regression,ALL_MEAN,0.9077319700642461,0.0,0.0,0.0,,0.09226802993575386,0.006234234218727807,0.0,0.0,0.0,5.0
history_only,2,0.5,extra_long,Random Forest,ALL_MEAN,0.907802457986441,0.6392857142857142,0.0014231690699386857,0.002836735265009189,,0.09226802993575386,0.006211316962244008,0.3670761473579885,0.0010459685521528894,0.0020825876183694038,5.0
history_only,2,0.7,short,Naive (always 'not congested'),25,0.8187737928270887,0.0,0.0,0.0,19964.0,0.18122620717291124,,,,,
history_only,2,0.7,short,Naive (persistence),25,0.8383089561210179,0.5537782680639823,0.5550027639579879,0.5543898398674766,19964.0,0.18122620717291124,,,,,
history_only,2,0.7,short,Logistic Regression,25,0.8640052093768784,0.7852179406190777,0.3435599778883361,0.47798500288406076,19964.0,0.18122620717291124,,,,,
history_only,2,0.7,short,Random Forest,25,0.8639050290522942,0.7954098360655738,0.3352681039248203,0.47170911919113356,19964.0,0.18122620717291124,,,,,
history_only,2,0.7,short,Naive (always 'not congested'),26,0.8117104471626229,0.0,0.0,0.0,19948.0,0.1882895528373772,,,,,
history_only,2,0.7,short,Naive (persistence),26,0.8344194906757569,0.5602553870710295,0.560702875399361,0.5604790419161677,19948.0,0.1882895528373772,,,,,
history_only,2,0.7,short,Logistic Regression,26,0.8553739723280529,0.7822423849643552,0.32135250266240684,0.4555576523872429,19948.0,0.1882895528373772,,,,,
history_only,2,0.7,short,Random Forest,26,0.8556246240224584,0.7916111850865513,0.3165601703940362,0.45226321795359453,19948.0,0.1882895528373772,,,,,
history_only,2,0.7,short,Naive (always 'not congested'),27,0.8370578214249925,0.0,0.0,0.0,19958.0,0.1629421785750075,,,,,
history_only,2,0.7,short,Naive (persistence),27,0.8417176069746467,0.5142944973870274,0.5144526445264452,0.5143735588009224,19958.0,0.1629421785750075,,,,,
history_only,2,0.7,short,Logistic Regression,27,0.8691251628419682,0.7465331278890601,0.29797047970479706,0.4259340659340659,19958.0,0.1629421785750075,,,,,
history_only,2,0.7,short,Random Forest,27,0.8686241106323279,0.7532154340836013,0.288130381303813,0.4168149466192171,19958.0,0.1629421785750075,,,,,
history_only,2,0.7,short,Naive (always 'not congested'),28,0.8192246042877179,0.0,0.0,0.0,19964.0,0.1807753957122821,,,,,
history_only,2,0.7,short,Naive (persistence),28,0.8421158084552194,0.5632788701190806,0.5635910224438903,0.5634349030470914,19964.0,0.1807753957122821,,,,,
history_only,2,0.7,short,Logistic Regression,28,0.8617511520737328,0.7681617182564751,0.3369354391798282,0.46841294298921415,19964.0,0.1807753957122821,,,,,
history_only,2,0.7,short,Random Forest,28,0.8623021438589461,0.7781371280724451,0.3333333333333333,0.46673132880698354,19964.0,0.1807753957122821,,,,,
